id,desc,accession,query_cov,seq_ident
ref|WP_011486392.1|,NAD(P)/FAD-dependent oxidoreductase [Polaromonas sp. JS666],WP_011486392,0.974,0.59
ref|WP_043481220.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. SPG23],WP_043481220,0.976,0.587
gb|RCX09780.1|,cation diffusion facilitator CzcD-associated flavoprotein CzcO [Extensimonas vulgaris],RCX09780,0.969,0.587
ref|WP_114483157.1|,NAD(P)/FAD-dependent oxidoreductase [Extensimonas vulgaris],WP_114483157,0.969,0.587
ref|WP_093052339.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. NFPP33],WP_093052339,0.945,0.589
ref|WP_095785398.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Mycobacterium],WP_095785398,0.959,0.601
ref|WP_106349107.1|,NAD(P)/FAD-dependent oxidoreductase [Antricoccus suffuscus],WP_106349107,0.978,0.592
ref|WP_102809880.1|,NAD(P)/FAD-dependent oxidoreductase [Mycobacterium sp. ENV421],WP_102809880,0.959,0.596
ref|WP_136323127.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. PAMC25564],WP_136323127,0.97,0.577
ref|WP_091147801.1|,NAD(P)/FAD-dependent oxidoreductase [Novosphingobium sp. CF614],WP_091147801,0.978,0.59
gb|AAR99068.1|,cyclohexanone monooxygenase [Brachymonas petroleovorans],AAR99068,0.97,0.568
ref|WP_088088501.1|,NAD(P)/FAD-dependent oxidoreductase [Bacillus sp. OV166],WP_088088501,0.985,0.589
ref|WP_121066935.1|,NAD(P)/FAD-dependent oxidoreductase [Chachezhania antarctica],WP_121066935,0.967,0.583
ref|WP_144529826.1|,NAD(P)-binding domain-containing protein [Bacillus simplex],WP_144529826,0.959,0.576
ref|WP_066256274.1|,NAD(P)/FAD-dependent oxidoreductase [Bacillus drentensis],WP_066256274,0.969,0.577
gb|KEI44726.1|,cyclohexanone monooxygenase [Saccharopolyspora rectivirgula],KEI44726,0.976,0.568
ref|WP_081855528.1|,NAD(P)/FAD-dependent oxidoreductase [Saccharopolyspora rectivirgula],WP_081855528,0.969,0.563
gb|OOL31551.1|,cyclohexanone monooxygenase [Rhodococcus rhodochrous],OOL31551,0.982,0.574
ref|WP_051388070.1|,NAD(P)/FAD-dependent oxidoreductase [Saccharopolyspora rectivirgula],WP_051388070,0.969,0.561
ref|WP_134324453.1|,NAD(P)/FAD-dependent oxidoreductase [Cumulibacter sp. G-1],WP_134324453,0.965,0.576
ref|WP_088626552.1|,NAD(P)/FAD-dependent oxidoreductase [Oceanicola sp. 22II-s10i],WP_088626552,0.967,0.577
ref|WP_104175854.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. Y81],WP_104175854,0.958,0.561
ref|WP_089423332.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Sulfitobacter],WP_089423332,0.963,0.57
emb|CAD10801.1|,"cyclohexanone 1,2-monooxygenase [Xanthobacter flavus]",CAD10801,0.985,0.557
ref|WP_024366082.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. TB 26],WP_024366082,0.958,0.559
ref|WP_049716897.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces caatingaensis],WP_049716897,0.98,0.57
ref|WP_056626825.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. Soil736],WP_056626825,0.958,0.561
ref|WP_043480805.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. SPG23],WP_043480805,0.958,0.561
ref|WP_067261950.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodobacteraceae],WP_067261950,0.987,0.565
ref|WP_055806562.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. Leaf337],WP_055806562,0.958,0.561
ref|WP_009804217.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodobacteraceae],WP_009804217,0.987,0.565
ref|WP_024820729.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. 31Y],WP_024820729,0.974,0.561
ref|WP_136323143.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. PAMC25564],WP_136323143,0.958,0.561
ref|WP_109239209.1|,NAD(P)/FAD-dependent oxidoreductase [Gordonia paraffinivorans],WP_109239209,0.967,0.55
ref|WP_161994825.1|,NAD(P)-binding domain-containing protein [Rhodococcus sp. YH1],WP_161994825,0.972,0.559
ref|WP_058929017.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudarthrobacter sulfonivorans],WP_058929017,0.958,0.555
gb|AAR27824.1|,cyclohexanone monooxygenase [Rhodococcus sp. TK6],AAR27824,0.972,0.559
ref|WP_097203973.1|,NAD(P)/FAD-dependent oxidoreductase [Geodermatophilus sabuli],WP_097203973,0.969,0.563
ref|WP_091325328.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. cf158],WP_091325328,0.974,0.559
pdb|4RG3|A,"Chain A, Cyclohexanone monooxygenase [Rhodococcus sp. HI-31]",4RG3_A,0.972,0.557
pdb|6ER9|A,"Chain A, Cyclohexanone monooxygenase [Rhodococcus sp. Phi1]",6ER9_A,0.982,0.559
ref|WP_054540671.1|,NAD(P)/FAD-dependent oxidoreductase [Confluentimicrobium sp. EMB200-NS6],WP_054540671,0.982,0.561
ref|WP_009476383.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. JVH1],WP_009476383,0.965,0.555
ref|WP_133351444.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter nitrophenolicus],WP_133351444,0.958,0.559
ref|WP_053415760.1|,NAD(P)/FAD-dependent oxidoreductase [Viridibacillus arvi],WP_053415760,0.983,0.581
pdb|3GWD|A,"Chain A, Cyclohexanone monooxygenase [Rhodococcus sp. HI-31]",3GWD_A,0.972,0.557
pdb|3UCL|A,"Chain A, Cyclohexanone monooxygenase [Rhodococcus sp. HI-31]",3UCL_A,0.972,0.557
ref|WP_090820873.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. yr096],WP_090820873,0.974,0.557
gb|AAN37494.1|,cyclohexanone monooxygenase [Rhodococcus sp. Phi1],AAN37494,0.978,0.557
ref|WP_104063888.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. 4R501],WP_104063888,0.958,0.554
gb|MAB17637.1|,cyclohexanone monooxygenase [Roseobacter sp.],MAB17637,0.987,0.561
gb|OOL32667.1|,cyclohexanone monooxygenase [Rhodococcus rhodochrous],OOL32667,0.972,0.554
ref|WP_050474496.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodobacteraceae],WP_050474496,0.983,0.561
ref|WP_164064460.1|,NAD(P)-binding domain-containing protein [Rhodococcus sp. IEGM 248],WP_164064460,0.965,0.554
ref|WP_043378126.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces luteus],WP_043378126,0.974,0.555
ref|WP_138047167.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. NEAU-C151],WP_138047167,0.987,0.552
ref|WP_091252989.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. ok909],WP_091252989,0.958,0.552
ref|WP_092582968.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Ralstonia],WP_092582968,0.98,0.565
gb|ROP88349.1|,cation diffusion facilitator CzcD-associated flavoprotein CzcO [Streptomyces sp. 844.5],ROP88349,0.972,0.563
gb|TDN86970.1|,cation diffusion facilitator CzcD-associated flavoprotein CzcO [Stakelama pacifica],TDN86970,0.972,0.555
ref|WP_133494109.1|,NAD(P)/FAD-dependent oxidoreductase [Stakelama pacifica],WP_133494109,0.972,0.555
ref|WP_028849141.1|,NAD(P)/FAD-dependent oxidoreductase [Thermocrispum municipale],WP_028849141,0.978,0.566
gb|KAF0175819.1|,flavin-containing monooxygenase FMO [Rhodobacteraceae bacterium],KAF0175819,0.983,0.555
ref|WP_037112971.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodococcus],WP_037112971,0.985,0.568
ref|WP_017615658.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis salina],WP_017615658,0.959,0.55
ref|WP_062653539.1|,NAD(P)/FAD-dependent oxidoreductase [Rhizobium sp. Root651],WP_062653539,0.983,0.552
ref|WP_094719659.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. 14-2470-1b],WP_094719659,0.985,0.568
pdb|6ERA|A,"Chain A, Cyclohexanone monooxygenase [Rhodococcus sp. Phi1]",6ERA_A,0.982,0.554
ref|WP_029995535.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Sphingomonadaceae],WP_029995535,0.993,0.555
gb|PRD33997.1|,Baeyer-Villiger monooxygenase [Trichonephila clavipes],PRD33997,0.983,0.57
gb|AAN37491.1|,cyclohexanone monooxygenase [Rhodococcus sp. Phi2],AAN37491,0.972,0.55
gb|ABQ10653.1|,"cyclohexanone monooxygenase, partial [Arthrobacter sp. L661]",ABQ10653,0.967,0.548
ref|WP_130293233.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia sediminis],WP_130293233,0.976,0.572
gb|AEC32943.1|,cyclohexanone monooxygenase [Rhodococcus ruber],AEC32943,0.972,0.552
ref|WP_145692569.1|,NAD(P)-binding domain-containing protein [Rhodococcus rhodochrous],WP_145692569,0.982,0.544
ref|WP_161763803.1|,FAD-dependent oxidoreductase [Rhodobacteraceae bacterium HSP-20],WP_161763803,0.983,0.568
gb|OHC55540.1|,cyclohexanone monooxygenase [Rhodobacterales bacterium RIFCSPHIGHO2_02_FULL_62_130],OHC55540,0.983,0.568
ref|WP_150587484.1|,FAD-dependent oxidoreductase [Pandoraea sp. LMG 31012],WP_150587484,0.982,0.559
ref|WP_142568285.1|,FAD-dependent oxidoreductase [Microbispora bryophytorum],WP_142568285,0.989,0.565
ref|WP_025549974.1|,NAD(P)/FAD-dependent oxidoreductase [Sphingobium barthaii],WP_025549974,0.972,0.55
ref|WP_009827025.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodobacteraceae],WP_009827025,0.987,0.563
ref|WP_009242116.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Ralstonia],WP_009242116,0.982,0.559
ref|WP_093455066.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudooceanicola nitratireducens],WP_093455066,0.987,0.563
ref|WP_147848386.1|,FAD-dependent oxidoreductase [Enhydrobacter sp. CC-CFT640],WP_147848386,0.972,0.548
ref|WP_091047536.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardioides sp. YR527],WP_091047536,0.98,0.561
ref|WP_071974431.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodobacteraceae],WP_071974431,0.987,0.563
ref|WP_137910984.1|,NAD(P)/FAD-dependent oxidoreductase [Ralstonia sp. 3PA37C10],WP_137910984,0.982,0.559
ref|WP_104577673.1|,NAD(P)/FAD-dependent oxidoreductase [Ralstonia insidiosa],WP_104577673,0.982,0.557
ref|WP_095889058.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. ACPA4],WP_095889058,0.98,0.563
ref|WP_136728276.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. NEAU-C40],WP_136728276,0.98,0.55
ref|WP_115964083.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. OK269],WP_115964083,0.985,0.559
ref|WP_142938786.1|,NAD(P)-binding domain-containing protein [Arthrobacter sp. TS-15],WP_142938786,0.985,0.548
ref|WP_094610305.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. WWJCD1],WP_094610305,0.976,0.554
ref|WP_109684346.1|,NAD(P)/FAD-dependent oxidoreductase [Branchiibius hedensis],WP_109684346,0.963,0.561
emb|SFM02757.1|,Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD [Marinobacter sp. DSM 26291],SFM02757,0.967,0.559
ref|XP_017544661.1|,PREDICTED: baeyer-Villiger monooxygenase-like [Pygocentrus nattereri],XP_017544661,0.985,0.565
gb|OJV94247.1|,cyclohexanone monooxygenase [Microbacterium sp. 67-17],OJV94247,0.983,0.552
ref|WP_069183838.1|,NAD(P)/FAD-dependent oxidoreductase [Marinobacter adhaerens],WP_069183838,0.967,0.559
ref|WP_075195766.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Marinobacter],WP_075195766,0.967,0.559
ref|WP_094641636.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Rhodococcus],WP_094641636,0.976,0.554
ref|WP_094704849.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. 15-649-2-2],WP_094704849,0.976,0.554
ref|WP_125131931.1|,NAD(P)/FAD-dependent oxidoreductase [Microbacterium sp. 10M-3C3],WP_125131931,0.983,0.555
ref|WP_094662586.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. 06-1460-1B],WP_094662586,0.976,0.552
emb|SEO04995.1|,Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD [Gemmobacter aquatilis],SEO04995,0.982,0.555
gb|OUR81907.1|,cyclohexanone monooxygenase [Cycloclasticus sp. 46_120_T64],OUR81907,0.963,0.565
ref|WP_045246916.1|,NAD(P)/FAD-dependent oxidoreductase [Microbacterium ginsengisoli],WP_045246916,0.983,0.55
ref|WP_167120578.1|,NAD(P)-binding domain-containing protein [Rhodococcus sp. A14],WP_167120578,0.97,0.539
ref|WP_135950164.1|,NAD(P)/FAD-dependent oxidoreductase [Microbacterium laevaniformans],WP_135950164,0.983,0.55
ref|WP_091303191.1|,NAD(P)/FAD-dependent oxidoreductase [Gemmobacter aquatilis],WP_091303191,0.982,0.555
ref|WP_037150310.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodococcus],WP_037150310,0.976,0.552
ref|WP_098956603.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia sp. N23],WP_098956603,0.963,0.542
ref|WP_005054981.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Microbacterium],WP_005054981,0.983,0.548
ref|WP_058807953.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Sphingopyxis],WP_058807953,0.98,0.548
ref|WP_141474961.1|,NAD(P)-binding domain-containing protein [Rhodococcus sp. WS4],WP_141474961,0.97,0.537
gb|ODT24656.1|,cyclohexanone monooxygenase [Microbacterium sp. SCN 69-37],ODT24656,0.983,0.554
ref|WP_093344080.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia ammonioxydans],WP_093344080,0.97,0.541
ref|WP_057479465.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. Leaf278],WP_057479465,0.976,0.55
ref|WP_142623690.1|,FAD-dependent oxidoreductase [Microbispora hainanensis],WP_142623690,0.976,0.557
ref|WP_058536444.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Sphingopyxis],WP_058536444,0.98,0.548
emb|SFN53955.1|,Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD [Pseudonocardia ammonioxydans],SFN53955,0.97,0.541
gb|MAC22023.1|,cyclohexanone monooxygenase [Marinobacter sp.],MAC22023,0.967,0.557
gb|MAA82133.1|,cyclohexanone monooxygenase [Hyphomonas sp.],MAA82133,0.967,0.561
ref|WP_125089118.1|,NAD(P)/FAD-dependent oxidoreductase [Saccharopolyspora sp. H219],WP_125089118,0.982,0.557
ref|WP_097203983.1|,NAD(P)/FAD-dependent oxidoreductase [Geodermatophilus sabuli],WP_097203983,0.974,0.546
ref|WP_137095890.1|,NAD(P)/FAD-dependent oxidoreductase [Prauserella endophytica],WP_137095890,0.967,0.55
ref|WP_112272984.1|,NAD(P)/FAD-dependent oxidoreductase [Prauserella sp. PE36],WP_112272984,0.967,0.55
gb|AAN37479.1|,cyclohexanone monooxygenase [Arthrobacter sp. BP2],AAN37479,0.985,0.546
gb|OJU47741.1|,cyclohexanone monooxygenase [Microbacterium sp. 69-7],OJU47741,0.983,0.554
ref|WP_113979857.1|,NAD(P)/FAD-dependent oxidoreductase [Sphaerisporangium sp. LHW63015],WP_113979857,0.967,0.541
ref|WP_132428443.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia endophytica],WP_132428443,0.956,0.535
gb|MAX77707.1|,cyclohexanone monooxygenase [Roseobacter sp.],MAX77707,0.987,0.555
ref|WP_051736657.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia autotrophica],WP_051736657,0.963,0.548
ref|WP_072801557.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus yunnanensis],WP_072801557,0.983,0.557
ref|WP_168150722.1|,NAD(P)/FAD-dependent oxidoreductase [Paeniglutamicibacter sp. ANT13_2],WP_168150722,0.946,0.539
ref|WP_111170302.1|,NAD(P)/FAD-dependent oxidoreductase [Desertiactinospora gelatinilytica],WP_111170302,0.969,0.539
ref|WP_099612782.1|,NAD(P)/FAD-dependent oxidoreductase [Marinobacter profundi],WP_099612782,0.98,0.548
